Language,Category,Topic,FAQ,Answer
English,Broker,Securities account management,Why is my return not displayed in percentage?,"In addition to the real-time valuation of your portfolio, we also show you the absolute return in Euro. A percentage return on a portfolio basis is in many cases misleading, as it depends heavily on the timing of trading activities and their size.

It is possible to calculate the percentage return in relation to the total deposits made (minus withdrawals); however, this figure offers limited information as this example illustrates:

Assume you invest 10,000 Euro once through Scalable Broker. After one year your investments have generated an absolute return of 700 Euro. This would now result in a relative return of 7.0% and would be a meaningful indication. However, if you invested another 10,000 Euro on the same day, your percentage return would be halved - without changing the value of your investments (700 / 20,000 = 3.5%).

The time-weighted yield which we also use in wealth management can offer little help here. This is adjusted for incoming and outgoing payments thus allowing a direct comparison with a benchmark or another portfolio.

In wealth management, it is important to show the performance of the wealth manager transparently and independently of the client's investment dates. When evaluating one's own investment decisions, on the other hand, timing in particular plays a very decisive role in investment success. Therefore, the time-weighted return is not suitable in the context of Scalable Broker."
English,Broker,Securities account management,Can I use multibanking programs or a FinTS interface?,"Baader Bank, the custodian bank, offers a FinTS interface for multibanking programs. The LogIn data for FinTS access corresponds to your login data for the Baader customer portal. Depending on your software, you may need to enter the following address in the banking software: https://fints.baaderbank.de"
English,Broker,Securities account management,Can I export information about my portfolio such as a CSV file?,No. An export is not possible at this time.
English,Broker,Securities account management,How can I add securities to my watchlist?,"First, click on the desired security. Then, click on ""Add to watchlist"" (appears as a star in the app) in the upper right corner of the overview page of the security. The security will now appear in the watchlist on your home page. Securities for which you have already instructed orders or set up a savings plan are automatically added to your portfolio list."
English,Broker,Securities account management,How can I remove securities from my watchlist?,"First, click on the desired security. Then, click on ""Remove from watchlist"" (appears as a star in the app) in the upper right corner of the overview page of the security. When you buy a security from your watchlist, or set up a savings plan, it is automatically transferred from the watchlist to the portfolio list."
English,Broker,Securities account management,Can I sort or filter my portfolio and watchlist?,No. Currently all entries are sorted alphabetically. Manual sorting will be available soon.
English,Broker,Securities account management,Is there a minimum investment period for my account or a minimum term for my contract?,"No. There are no minimum investment periods or minimum terms of contracts. Individual securities can be bought and sold at any time. Our service can also be cancelled at any time free of charge. It is also possible to switch between the price models offered (FREE Broker, PRIME Broker and PRIME Broker Flex) at any time free of charge."
English,Broker,Securities account management,Can I switch between broker plans?,"Yes. You can switch between the different pricing plans (FREE Broker, PRIME Broker and PRIME Broker Flex) at any time free of charge. To do this, go to ""Profile"" in the web view of your account. Under ""Products"" you will find the option to change your broker plan.
"
English,Broker,Securities account management,How can I cancel the Scalable Broker?,"You can cancel or change your broker online or via the Scalable Capital app under ""Profile"", ""Products"".

After your cancellation, you can still log into your personal area and retrieve documents in your mailbox. There you will receive important documents, such as your annual tax certificate. You can access these documents in your mailbox until the applicable retention periods expire. However, if necessary, access to your personal area can also be deactivated. To do so, please send us an e-mail."
English,Broker,Securities account management,Are cancellations free of charge?,Yes. Cancellation is free of charge and possible at any time.
English,Broker,Securities account management,What happens if the account holder dies?,"Since the existing contracts cannot be rewritten, the accounts of the deceased must be dissolved.

Please send the following documents by mail to the address below:

Death certificate (original or certified copy)
Authenticated opening of will or original certificate of inheritance
Order to close the clearing account and securities account, indicating the IBAN to which the credit balance is to be paid, signed by all heirs

The documents should be sent to the following address:
Scalable Capital Vermögensverwaltung GmbH
Kundenservice Broker
Seitzstraße 8e
80538 München
Germany"
English,Broker,Trading,Will I receive financial or investment advice from Scalable Capital?,"No. If you have any questions about our service, please contact us by email, chat, or telephone. However, we do not provide financial or investment advice."
English,Broker,Trading,How much money should I invest?,Investing in the capital market comes with risks. We therefore advise our clients to keep an immediately available emergency reserve for unforeseen events which should cover all of your current expenses and obligations for at least six months.
English,Broker,Trading,Which stock exchanges are available?,"Orders can be placed on gettex, a stock exchange of Bayrische Börse AG, or Xetra, operated by Deutsche Börse AG. In principle, neither brokerage fees nor exchange fees are charged on gettex. The public law structure guarantees the neutrality that is indispensable for safeguarding the interests of market participants, investors, and issuers.

The order fee on Xetra is a flat rate of 3.99 Euro, including for customers using the PRIME Broker and PRIME Broker Flex plans. In addition to that, there is an exchange fee for Xetra. For Scalable Broker this is only 0.01% of the executed volume (minimum 1.50 Euro). The trading platform fee covers all third-party costs for trading and settlement. The settlement is carried out by the custodian bank.

An overview of all costs can be found here (German only)."
English,Broker,Trading,What are the trading costs on Xetra?,"These conditions apply to users of our FREE Broker, PRIME Broker, and PRIME Broker flex:

For all customers the purchase or sale of securities via Xetra costs 3.99 Euro. This fee is collected from your current account after your order has been executed.

In addition, there is an exchange fee. This is only 0.01% of the executed volume (minimum 1.50 Euro). It covers all third-party costs for trading and settlement. The settlement is carried out by the custodian bank and is collected from your clearing account."
English,Broker,Trading,What are the trading hours of gettex and Xetra?,"On gettex, you can usually trade ETFs, shares, and funds Monday through Friday from 8:00 a.m. to 10:00 p.m. Stock exchange holidays are excluded. You can find gettex's trading calendar here (German only).

On Xetra, you can trade Monday through Friday from 9:00 a.m. to 5:30 p.m. Stock exchange holidays are excluded. You can find Xetra's trading calendar here (German only).

On trading days, Scalable Broker allows orders to be placed around the clock. From 12:15 a.m. to 11:30 p.m., you can place or cancel orders in our app or online by logging in to your Scalable Capital account. Stop and limit orders created outside trading hours are executed at the next possible time during trading hours. Market orders are generally only valid for the day on which they are created. If they are created before the opening of the exchange, they are executed at the next possible time during trading hours. Market orders placed after trading closes expire.

Please note that different trading hours may apply to certain derivatives. Further information you can find in the “Key Investor Information Document” or on the providers’ websites.
"
English,Broker,Trading,Can I trade outside trading hours?,"gettex offers trading outside the trading hours of reference exchanges such as Xetra. You can trade ETFs, shares, and funds Monday to Friday from 8:00 a.m to 10:00 p.m. Stock exchange holidays are excluded. You can find the gettex trading calendar here (German only).

On trading days, Scalable Broker allows orders to be placed around the clock. From 12:15 a.m. to 11:30 p.m., you can place orders in our app or online by logging in to your Scalable Capital account. Orders created outside trading hours will be executed at the next possible time during trading hours."
English,Broker,Trading,Can I also trade over-the-counter?,"No. Scalable Broker only offers exchange trading. This offers additional security for the investor. Stock exchange trading is strictly regulated and compliance with stock exchange rules is monitored by the Exchange Supervisory Authority.

In addition, each stock exchange has its own trade monitoring center. Their tasks are defined by law. It ensures proper trading and offers protection against any price manipulation. Investors can contact the Trading Surveillance Office as the exchange's supervisory body if they have any concerns about price fixing during execution. Scalable Capital is happy to assist you in clarifying the facts of the case."
English,Broker,Trading,Do I own the securities?,"Yes. When you buy a security, you acquire ownership rights to that security. The financial instruments are held in a securities account maintained in your name with Baader Bank."
English,Broker,Trading,Which financial products can I invest in?,"In principle, all ETFs, stocks, and funds that are traded on gettex or Xetra are available to you. Additionally you can trade more than 300,000 derivatives by Goldman Sachs, HSBC and HypoVereinsbank onemarkets. You can easily find out whether a security can be traded by using the search function of the broker screen in our app or online. Simply enter the name, the security identification number (WKN), or ISIN."
English,Broker,Trading,Why can't I find a security?,"The security you're looking for isn't available? When searching for a security in the security search, simply send us your request for a stock, ETF or funds if it isn’t available yet. If the trading conditions are met, we can have the security added for you. We look forward to your suggestions!"
English,Broker,Trading,What are ETFs?,"Exchange-traded funds (ETFs) are investment funds that replicate the performance of a stock market index, such as the DAX, without a fund manager making active investment decisions. They are therefore also known as passive index funds. Like an investment fund, an ETF gives you access to a broader set of securities. such as stocks. Unlike actively managed investment funds, however, they are much more cost-effective, because they do not require expensive management fees or premiums that eat up your return. Since ETFs are traded on stock exchanges, they also offer daily liquidity. In short: ETFs enable broadly diversified and cost-effective investments."
English,Broker,Trading,What are stocks?,"Stocks are securities issued by companies to raise equity capital and represent a share in the equity capital of a company. A shareholder is therefore not a creditor as with a bond, but a co-owner of the company. The shareholder is involved in the economic success and failure, and the shareholder participates in it through profit distributions known as dividends as well as through the price development of the share.

Is your favorite share not available at Scalable Broker? Write us, and we will take care of it! If the trading conditions are met, gettex can start trading the share for you. Please be sure to tell us the desired WKN or ISIN. We are looking forward to your suggestions!"
English,Broker,Trading,What are funds?,"Investment funds are vehicles for collective investment in accordance with the regulations of the German Investment Code. A distinction must be made between open investment funds, which are open to an unlimited number of investors, and closed investment funds, which are open to a limited number of investors. A capital management company determines the investment strategy of an open-ended investment fund and manages the fund assets professionally.

Is your favorite fund not available at Scalable Broker? Write us, and we will take care of it! If the trading conditions are met, gettex can start trading the fund for you. Please be sure to tell us the desired WKN or ISIN. We are looking forward to your suggestions!"
English,Broker,Trading,Who are the PRIME partners and what are the benefits of the partnerships?,"With our exclusive partners DWS Xtrackers, Invesco, and iShares by BlackRock, we provide low cost access to numerous high-quality ETFs. In addition to the purchase of the ETFs - which is free of order fees - we provide many additional features and data on the ETFs of the PRIME partners."
English,Broker,Trading,Which ETFs of the PRIME Partners are free to buy or set up a savings plan for?,"You can buy or set up a savings plan for all ETFs from DWS Xtrackers, Invesco, and iShares by BlackRock free of order fee charges. The sale still costs 0.99 Euro per execution in FREE Broker. In PRIME Broker there are no further order fees apart from the 2.99 Euro per month flat-rate fee. One-off trades below 250 Euro in order value are charged at 0.99 Euro."
English,Broker,Trading,Can I buy or sell fragments?,"Buy fractional shares: You cannot buy fractional shares directly. However, with all savings plans, we will buy fractional shares of ETFs for you, so that your monthly savings rate can be fully invested. As long as the savings plan is running, these fractional shares will be reassembled into whole securities over time.

Sell fractional shares: If you want to sell an ETF that has a savings plan and therefore contains fractional shares, you can of course sell the fractional shares again without additional costs. Beyond that, no fractional shares can be sold."
English,Broker,Trading,Is intraday trading possible?,Yes. You can buy and sell securities on the same day. You can also see real-time prices of the securities.
English,Broker,Trading,Can I invest in gold? ,"Yes, in the Scalable Capital Broker you have various financial products at your disposal with which you can invest in the gold market. For example, you can invest in ETCs that invest in physical gold.
In order to benefit from the tax exemption for an appropriate holding period, you can choose a product that allows physical delivery. Examples of such ETFs are WisdomTree Physical Swiss Gold (WKN: A1DCTL) and Gold Bullion Securities (WKN: A0LP78).

For ETFs and ETCs, you can also set up a savings plan and invest your desired amount in your favourite product every month."
English,Broker,Trading,Can I trade bonds?,"In order to benefit from the tax exemption for an appropriate holding period, you can choose a product that allows physical delivery. Examples of such ETFs are WisdomTree Physical Swiss Gold (WKN: A1DCTL) and Gold Bullion Securities (WKN: A0LP78)."
English,Broker,Trading,Can I trade derivatives?,"Yes. You can trade more than 300,000 derivatives in Scalable Broker. You can choose between derivatives by Goldman Sachs, HSBC or HypoVereinsbank onemarkets. To be able to trade derivatives, you have to successfully conduct the suitability test. This test is designed to assess your knowledge and experience with regards to derivatives. This is required since trading in derivatives can result in high and quick losses.
"
English,Broker,Trading,Can I trade cryptocurrencies?,"For ETFs and ETCs, you can also set up a savings plan and invest your desired amount in your favourite product every month."
English,Broker,Trading,Can I subscribe to new shares (IPOs) via Scalable Broker?,
English,Broker,Trading,Can I exchange funds?,Translated with www.DeepL.com/Translator (free version)
English,Broker,Trading,Can I pay out sales proceeds immediately after selling securities?,"Earnings from executed sales can be used directly to buy securities again. However, they are only available for payment once the trades have been booked by the custody bank. This is due to the fact that securities transactions are only actually booked two trading days after the trade was concluded on the stock exchange (also known as settlement)."
English,Broker,Trading,Can I reinvest sales proceeds immediately after selling securities?,"Proceeds from sell orders will become available immediately after order execution less a deduction to account for possible taxes. After booking, the full proceeds are available on the following trading day. Savings plans have no impact as they are debited from your current account and invested directly."
English,Broker,Trading,What happens if trading is suspended?,"In very volatile market phases or in the case of announcements that strongly influence the price of one or more securities, the Exchange Supervisory Authority may suspend trading in individual securities. In extreme situations, the entire exchange trading may also be suspended. During this time, trading in the securities concerned is not possible.

In addition, securities may also be suspended from trading for an extended period of time for other reasons. For example, since summer 2019, Swiss shares may no longer be traded on trading venues in the EU. The suspension and resumption of price determination in individual securities will be announced on the website of the stock exchange gettex."
English,Broker,Trading,What are orders?,"Orders are instructions to buy or sell securities. By submitting your order in our app or online, you instruct Scalable Capital to place the corresponding order with Baader Bank for execution on gettex. The order is valid when the corresponding confirmation is displayed. You can follow the progress of your order live by checking the transaction list."
English,Broker,Trading,Which order types are available?,"There are four order types are available.

Market order: Executed during trading hours at the best possible price. This price may differ significantly from the last price at the time the order is placed due to price jumps. The market order is only valid for the trading day on which it was placed.

Limit order: Here you can define a limit price. The order will only be executed at this specified price or better. This allows you to protect yourself against sudden price jumps. On the other hand, it is possible that the limit order can only be partially executed or not executed at all.
The limit order is valid for 360 days. During this period it can be cancelled at any time, provided that not all of the ordered items have been executed.

Stop order: Here you can define a stop price. When the stop price is reached, your order will be activated as a market order and executed during trading hours at the best possible price. This price may differ significantly from the stop price due to price jumps. It can happen that the order is never active and therefore not executed. The stop order is valid for 360 days. During this period, it can be cancelled at any time, as long as not all of the ordered items have been executed.

Stop limit order: As a combination of the preceding two types of orders, you set both a limit and a stop price. When the stop price is reached, your order will be activated as a limit order and will then only be executed at the limit price or better. This allows you to protect yourself against sudden price jumps. However, it can happen that the order can only be executed partially or not at all. The stop limit order is valid for 360 days. During this period, it can be cancelled at any time, as long as not all of the ordered items have been executed."
English,Broker,Trading,Can I set up a One-Cancels-Other (OCO) order?,"No, Scalable Broker currently does not offer an OCO order.

Please note: If you enter both a stop and limit price in the order screen, this does not constitute an OCO order. A stop-limit order works as follows: When the stop price is reached, your order is activated as a limit order and then executed exclusively at the limit price or better. This way you can protect yourself against sudden price jumps. In return, it may happen that the order can only be partially executed or not at all."
English,Broker,Trading,Is there a minimum order value?,Trading starts at 0 Euro. This applies to trading via gettex and Xetra. Trades below 250 Euro of order value result in 0.99 Euro order fees per trade - applicable to all pricing tiers. Trades of 250 Euro or more are still included in the trading flat rate (PRIME and PRIME flex). A minimum order size of 250 Euro still applies when trading in derivatives.
English,Broker,Trading,Can I pay out sales proceeds immediately after selling securities?,"Yes. Proceeds from executed sales can be used directly to buy securities again. However, they are only available for payment once the trades have been booked by the custodian bank. This is due to the fact that securities transactions are only actually booked two trading days after the trade was concluded on the stock exchange (so-called settlement)."
English,Broker,Trading,How can I buy or sell a security?,"Trading orders can only be accepted in our app or online by logging in to your Scalable Capital account. Telephone orders in particular are not possible. 

Select the desired security in our app or online by logging in to your Scalable Capital account. Navigate to your broker portfolio, and use the buttons ""Buy"" or ""Sell"" to start the order process. The put option is only available if you already hold shares of the security."
English,Broker,Trading,Can I change or cancel an order that I have already placed?,"A placed order can be cancelled free of charge under ""Transactions"" if it has not yet been fully executed. A direct modification of an order is not possible. If you want to change an order that has not yet been executed, cancel it and set it again."
English,Broker,Trading,Why is my order only partially executed?,"Trading on an exchange is determined by supply and demand. In principle, it can therefore happen with many types of orders that only a part of the ordered quantity can be executed, or nothing at all. Partial executions do not incur additional costs."
English,Broker,Trading,How do I set up a price alert?,"Click on the security that you want to set a price alert for. On the overview page of the security, click on the bell icon in the upper right corner. You can create multiple price alerts for the security. The number of active price alerts is indicated by a number on the bell icon."
English,Broker,Trading,"Can I set up and change price alerts for shares, ETFs, and funds?",Yes. You can set up price alerts for all securities and adjust them at any time.
English,Broker,Trading,How many price alerts can I set up?,In FREE Broker you can set one price alert for a security. In PRIME Broker or PRIME Broker Flex you can set as many price alerts as you like.
English,Broker,Trading,Is it possible for my order to be cancelled following its execution?,"Yes, according to the Conditions for Transactions on the Munich Stock Exchange (IV. Section), trades can be cancelled retroactively by the exchange under certain conditions. This applies in particular to so-called mistrades. Mistrades can, for example, be caused by technical malfunctions or an obviously deviating reference price. In case of a cancellation of your already executed order, you will be informed by e-mail. Limit or stop orders will not be reactivated. Therefore, if necessary, please set the corresponding order again."
English,Broker,Savings plan,How much does an ETF savings plan cost?,"All ETF savings plans are free of order fees. This applies to all our pricing plans.
"
English,Broker,Savings plan,How can I set up a savings plan?,"Search for the ETF or stock that you want to set up a savings plan for using the search function. On the overview page of the ETF or stock, click on ""Set up savings plan"" displayed below the buy or sell-option (in the app) or on the top right-hand corner (in your web browser). Enter a suitable amount, determine execution day, starting month, execution frequency and confirm by clicking on ""Set up savings plan.""

This video shows a tutorial."
English,Broker,Savings plan,Can I set up a stock savings plan?,"Yes. Savings plans on stocks are available free of order fees.
"
English,Broker,Savings plan,Can I set up a fund savings plan?,No. A savings plan on funds that are not ETFs is not currently available.
English,Broker,Savings plan,How can I adjust or cancel an ETF or stock savings plan?,"To adjust a savings plan, click on the stock or ETF with the savings plan that you want to adjust. On the overview page of the stock or ETF, click on the current savings plan displayed below the chart (in the app) or on the top right of the screen (in the web browser). Change your desired amount, execution date, frequency and inflation protection and click on ""Set up savings plan"" to confirm.

To cancel a savings plan, click on the stock or ETF with the savings plan that you want to cancel. On the overview page of the stock or ETF, click on the current savings plan displayed below the chart (in the app) or on the top right-hand corner (in the web browser). Change it to 0 Euro, and click on ""Deactivate"" to confirm. You can then reactivate the savings plan at any time in the same way.

To adjust the execution date and frequency of a savings plan, click on the stock or ETF with the savings plan that you want to adjust. On the overview page of the stock or ETF, click on the current savings plan displayed below the chart (in the app) or on the top right of the screen (in the web browser). Change the execution date and frequency, and click on ""Set up savings plan"" to confirm.


To add inflation protection, click on the stock or ETF with the savings plan that you want to adjust. On the overview page of the stock or ETF, click on the current savings plan displayed below the chart (in the app) or on the top right of the screen (in the web browser). Add a percentage value by which the savings plan rate should increase over time and click on ""Set up savings plan"" to confirm.

"
English,Broker,Savings plan,Why has my savings plan not yet been debited?,"The monthly savings plan is debited from your current account via SEPA direct debit. Please note that we will instruct the total sum of your savings plans at once. For example, if you have three active savings plans of 100 Euro each, we will debit 300 Euro. We instruct the payment on the last banking day of the previous month. The debit from your current account is usually made on the first bank working day of the month. Once credited to your broker account, the savings amount does not increase your cash balance, as it is reserved for the automatic purchase of that savings plan's corresponding ETF or stock.
"
English,Broker,Savings plan,Why does the savings rate not increase my balance?,"Once credited to your broker account, the savings amount will not increase your cash balance, as it is reserved for the automatic purchase of the savings plan's corresponding ETF or stock."
English,Broker,Savings plan,When will my savings plan be invested?,Your savings plans are invested at the most appropriate time during the execution day you choose when setting it up. You will see the purchase of securities on the following day in our app or online by logging in to your Scalable Capital account.
English,Broker,Savings plan,What happens if the price of the security is above or below my savings plan amount?,"With all savings plans, we also buy fractional shares of securities so that the determined savings plan amount can be reached. For example, if you have a savings plan of 50 Euros on an ETF that trades at 100 Euros at the time of purchase, your savings plan will buy 0.5 units. As long as the savings plan is active, these fractional shares are repeatedly combined into whole securities.

If you want to sell a security that was purchased with a savings plan and you therefore hold fractional shares, you can of course also sell the fractional shares again without additional costs. However, it is not possible to trade only a part of the held fractional shares. The entire position must always be sold."
English,Broker,Savings plan,Why isn't my entire savings plan invested?,"In order to invest your savings plan as fully as possible, we also buy fractional shares of ETFs. However, fractional shares can only be traded up to the third decimal place. To ensure that the savings rate is not exceeded, the fractional shares bought with your savings plan may therefore be rounded down.

Here's an example to make that clearer: You have set up a savings plan of 100 Euro on an ETF, which costs exactly 150 Euro at the time of purchase. If your savings plan buys 0.667 shares of this ETF for you, the costs would be higher than your savings plan at 100.05 Euro. Therefore, only 0.666 shares are bought and thus 99.90 Euro are invested. The remaining 0.10 Euro will be credited to your available balance."
English,Broker,Savings plan,Can I use capital-formation benefits (Vermögenswirksame Leistungen,Nein. Vermögenswirksame Leistungen können nicht über den Scalable Broker investiert werden.
English,Broker,Savings plan,What execution dates are available for savings plans?,"There are nine different execution dates for savings plans (1st, 4th, 7th, 10th, 13th, 16th, 19th, 22nd, 25th of a month). "
English,Broker,Savings plan,What investment frequencies can I choose for my savings plans?,"Savings plans can be executed monthly, bi-monthly or quarterly. "
English,Broker,Savings plan,"Can I adapt my savings rates to inflation?
","Yes, inflation protection is available. You can determine an adjustment rate in percent (2, 3 or 5%) by which your savings rate should increase each year. The adjustment is made proportionally after each savings plan execution.
"
English,Broker,Processing & taxes,Where can I find information about taxes?,"For all questions regarding the annual tax certificate, tax allowance, or the final withholding tax, there is a separate ""Taxes"" section in our FAQs. Please note that Scalable Capital cannot provide tax consulting services."
English,Broker,Processing & taxes,Where can I find information about distributions?,Distributions (e.g. dividends or interest) are credited to your clearing account at Baader Bank. You can see the current status in our app or online by logging in to your Scalable Capital account. Distributions can either be reinvested or withdrawn.
English,Broker,Processing & taxes,Under which circumstances will I receive a dividend for held stocks?,"For shares of German companies you are entitled to a dividend if you hold the share in your securities account on the day of their annual general meeting (AGM). From the first trading day after the AGM, the share is traded ""ex-dividend,"" as from then on there is no longer any entitlement to dividends. When you receive a dividend, it is automatically credited to your clearing account. However, the actual distribution of the dividend does not have to take place immediately after the AGM.

For dividends from foreign companies, some of which pay out a dividend several times a year, please refer to the quarterly reports or the investor relations page of the respective company."
